company,domain,category,contact_name,role,priority,status,linkedin_search
Daydream,daydream.ing,consumer-shopping,"Julie Bornstein","Founder & CEO",1,"SENT_P1","Julie Bornstein Daydream"
Daydream,daydream.ing,consumer-shopping,"Lisa Yamner Green","Co-Founder & Chief Commercial Officer",2,"","Lisa Yamner Green Daydream"
Daydream,daydream.ing,consumer-shopping,"Matt Fisher","Chief Technology Officer",3,"","Matt Fisher Daydream"
Daydream,daydream.ing,consumer-shopping,"Dan Cary","Chief Product Officer",4,"","Dan Cary Daydream"
Daydream,daydream.ing,consumer-shopping,"Richard Kim","Chief Strategy Officer",5,"","Richard Kim Daydream"
Phia,phia.com,consumer-shopping,"Phoebe Gates","Co-Founder & CEO",1,"SENT_P1","Phoebe Gates Phia"
Phia,phia.com,consumer-shopping,"Sophia Kianni","Co-Founder & CEO",2,"","Sophia Kianni Phia"
Phia,phia.com,consumer-shopping,"Carter Cote","Chief Product Officer",3,"","Carter Cote Phia"
Aesthetic,myaesthetic.ai,consumer-shopping,"LJ Northington","Co-Founder & CEO",1,"SENT_P1","LJ Northington Aesthetic"
Onton,onton.com,consumer-shopping,"Zach Hudson","Co-Founder & CEO",1,"SENT_P1","Zach Hudson Onton"
Onton,onton.com,consumer-shopping,"Alexander Gunnarson","Co-Founder & CTO",2,"","Alexander Gunnarson Onton"
Alta,alta.ai,consumer-shopping,"Jenny Wang","Co-Founder & CEO",1,"SENT_P1","Jenny Wang Alta"
Alta,alta.ai,consumer-shopping,"Tom Hoffen","Co-Founder & CTO",2,"","Tom Hoffen Alta"
Alta,alta.ai,consumer-shopping,"Mor Shabtai","Co-Founder & COO",3,"","Mor Shabtai Alta"
Swap,swap.com,consumer-shopping,"Sam Atkinson","Co-Founder & CEO",1,"SENT_P1","Sam Atkinson Swap"
Swap,swap.com,consumer-shopping,"Zach Bailet","Co-Founder & COO",2,"","Zach Bailet Swap"
Swap,swap.com,consumer-shopping,"Oron Bendavid","VP of Engineering",3,"","Oron Bendavid Swap"
Spangle AI,spangle.ai,consumer-shopping,"Maju Kuruvilla","Founder & CEO",1,"SENT_P1","Maju Kuruvilla Spangle AI"
Spangle AI,spangle.ai,consumer-shopping,"Fei Wang","Co-Founder & Chief AI Scientist",2,"","Fei Wang Spangle AI"
Spangle AI,spangle.ai,consumer-shopping,"Karen Moon","Chief Commercial Officer",3,"","Karen Moon Spangle AI"
Spangle AI,spangle.ai,consumer-shopping,"Jon Stanford","Co-Founder",4,"","Jon Stanford Spangle AI"
Spangle AI,spangle.ai,consumer-shopping,"Yufeng Gou","Co-Founder & Head of Engineering",5,"","Yufeng Gou Spangle AI"
Doji,doji.com,consumer-shopping,"Dorian Dargan","Co-Founder & CEO",1,"SENT_P1","Dorian Dargan Doji"
Doji,doji.com,consumer-shopping,"Jim Winkels","Co-Founder & CTO",2,"","Jim Winkels Doji"
Hey Savi,heysavi.com,consumer-shopping,"Victoria Peppiatt","Co-Founder & Co-CEO",1,"SENT_P1","Victoria Peppiatt Hey Savi"
