brand,domain,instagram,founder,source,notes
100% PURE,100percentpure.com,100percentpure,,petitvour-archive,
Holistic and Botanical Skin Care for Sensitive Skin,blissoma.com,blissomaskin,,boxwalla-beauty,
Stone & Spoon,stoneandspoon.com,stoneandspoon,,editorial-indie,
Beauty by Earth,beautybyearth.com,beautybyearth,,indie-press,
Healing Botanical Skincare™ | Monastery,monasterymade.com,,,beauty-heroes,
Goldfaden MD,goldfadenmd.com,goldfadenmd,,petit-vour,
By Rosie Jane,byrosiejane.com,byrosiejane,,petit-vour,
JohnMastersOrganics,johnmasters.com,johnmastersorganics,,petit-vour,
Maison Louis Marie® Official Site - Fragrances,maisonlouismarie.com,maisonlouismarie,,petit-vour,
Captain Blankenship,captainblankenship.com,captainblankenship,,petit-vour,
Corpus Naturals,corpusnaturals.com,corpusnaturals,,petit-vour,
LEAHLANI SKINCARE,leahlani.com,leahlaniskincare,,petit-vour,
EVOLVh,evolvh.com,mybetterroots,,petit-vour,
Minori Beauty,minoribeauty.com,minoribeauty,,petit-vour,
Eco Lips,ecolips.com,ecolips,,petit-vour,
Lily Lolo,lilylolo.us,lilylolousacanada,,petit-vour,
Eye of Horus,eyeofhoruscosmetics.com,eyeofhoruscosmetics,,petit-vour,
KOOSHOO,kooshoo.com,feelingkooshoo,,petit-vour,
Odacité,odacite.com,odacite,,petit-vour,
Evio Beauty,eviobeauty.com,eviobeauty,,petit-vour,
MyCHELLE Dermaceuticals,mychelle.com,mychellebeauty,,petit-vour,
Rachel Couture Cosmetics,rachelcouture.com,rachelcouturebeauty,,petit-vour,
Juice Beauty,juicebeauty.com,juicebeauty,,petit-vour,
UpCircle Beauty,upcirclebeauty.com,,,petit-vour,
True Moringa,truemoringa.com,truemoringa,,petit-vour,
Ere Perez Natural Cosmetics,ereperez.com,ereperezcosmetics,,petit-vour,
IDUN Minerals,idunminerals.com,idunminerals,,petit-vour,
Sanara Skincare,sanaraskincare.com,sanaraskincare,,petit-vour,
Dr Botanicals,drbotanicals.com,dr.botanicals,,petit-vour,
MO MI BEAUTY,momibeauty.com,mo.mi.beauty,,petit-vour,
NAE Vegan Shoes,nae-vegan.com,naeveganshoes,,petit-vour,
VMV Hypoallergenics,vmvhypoallergenics.com,vmvhypoallergenics,,ewg-verified,
Primally Pure,primallypure.com,primallypure,,editorial-indie,
Scientific Skincare that Actually Works,chemistconfessions.com,chemist.confessions,,indie-press,
Hello Klean,helloklean.com,helloklean,,ctxh-minority,
LIHA Beauty,lihabeauty.com,lihabeauty,,newknew-bipoc,
ROSEN Skincare,rosenskincare.com,,,newknew-bipoc,
Snow Fox Skincare,snowfoxskincare.com,snowfoxskincare,,general-indie,
Agent Nateur,agentnateur.com,agentnateur,,general-indie,
OSEA® Malibu,oseamalibu.com,oseamalibu,,beauty-heroes,
Pai Skincare UK,paiskincare.com,,,beauty-heroes,
Badger,badgerbalm.com,badgerbalm,,thenewknew,
Kjaer Weis,kjaerweis.com,kjaerweis,,stripe-indie-roundup,
rahua.com,rahua.com,rahuabeauty,,beauty-heroes,
Ursa Major Skincare,ursamajorvt.com,ursamajorvt,,beauty-heroes,
Kahina Giving Beauty,kahinagivingbeauty.com,kahinagivingbeauty,,beauty-heroes,
Vintner's Daughter,vintnersdaughter.com,vintnersdaughter,,conscious-curation,
NOTO Botanics,notobotanics.com,noto_botanics,,conscious-curation,
Grown Alchemist,grownalchemist.com,grownalchemist,,conscious-curation,
French Farmacie,frenchfarmacie.com,frenchfarmacie,,stripe-indie-roundup,
Klur,klur.co,,,stripe-indie-roundup,
Tammy Fender,tammyfender.com,tammyfender,,stripe-indie-roundup,
LINNÉ,linnebotanicals.com,linnebotanicals,,stripe-indie-roundup,
Kate McLeod,katemcleod.com,katemcleod,,stripe-indie-roundup,
FRENCH GIRL,frenchgirlorganics.com,frenchgirlorganics,,organic-authority,
Meow Meow Tweet,meowmeowtweet.com,meowmeowtweet,,organic-authority,
M.S Skincare,mulleinandsparrow.com,msskincare.co,,organic-authority,
Bee Inspired,waxingkara.com,beeinspiredgoods,,organic-authority,
