brand,domain,email,email_source
Specc's Chocolatier,speccsfudge.com,hello@speccsfudge.com,fallback
BakerCrate,bakercrate.com,hello@bakercrate.com,fallback
Plushie Dreadfuls,plushiedreadfuls.com,hello@plushiedreadfuls.com,fallback
Takeya USA,takeyausa.com,hello@takeyausa.com,fallback
Bougie Beasts,bougiebeasts.com,hello@bougiebeasts.com,fallback
Gnarly Nutrition,gognarly.com,hello@gognarly.com,fallback
Thread,threadc.com,hello@threadc.com,fallback
Piscifun,piscifun.com,hello@piscifun.com,fallback
Caudabe,caudabe.com,hello@caudabe.com,fallback
Cheer Up Games,cheerupgames.com,hello@cheerupgames.com,fallback
Holocuren,holocuren.com,hello@holocuren.com,fallback
Local Pervert,shoplocalpervert.com,hello@shoplocalpervert.com,fallback
Kosmic Kandles,kosmickandles.com,hello@kosmickandles.com,fallback
ABYstyle,abystyle.com,hello@abystyle.com,fallback
Craftmix,craftmix.com,hello@craftmix.com,fallback
Mojo Gummies,mojo.shop,hello@mojo.shop,fallback
Rosephoria,rosephoria.com,hello@rosephoria.com,fallback
Maaji,maaji.co,hello@maaji.co,fallback
RAËLIV Boutique,raeliv.boutique,hello@raeliv.boutique,fallback
VOLOOM,voloom.com,hello@voloom.com,fallback
LEKI USA,lekiusa.com,hello@lekiusa.com,fallback
Game Face Grooming,gamefacegrooming.com,hello@gamefacegrooming.com,fallback
Autumn Cashmere,autumncashmere.com,hello@autumncashmere.com,fallback
Manitobah USA,manitobah.com,hello@manitobah.com,fallback
Bondinage Latex,bondinage.com,hello@bondinage.com,fallback
Maxi-Cosi,maxicosi.com,hello@maxicosi.com,fallback
Le Monde Gourmand,gourmandbeauty.com,hello@gourmandbeauty.com,fallback
Surface Hair,surfacehair.com,hello@surfacehair.com,fallback
Wildebeest,wildebeest.co,hello@wildebeest.co,fallback
GhostBed,ghostbed.com,hello@ghostbed.com,fallback
Side Quest Shoppe,sidequestshoppe.com,hello@sidequestshoppe.com,fallback
CRAFTD,craftdlondon.com,hello@craftdlondon.com,fallback
White Mountain,whitemountainshoes.com,hello@whitemountainshoes.com,fallback
True,trueshop.us,hello@trueshop.us,fallback
Grind,grindcoffeeco.com,hello@grindcoffeeco.com,fallback
Fozzis,fozzis.com,hello@fozzis.com,fallback
Packed with Purpose,packedwithpurpose.gifts,hello@packedwithpurpose.gifts,fallback
Wild Bill's Olde Fashioned Soda Pop,drinkwildbills.com,hello@drinkwildbills.com,fallback
Summit & Steam,summitsteam.com,hello@summitsteam.com,fallback
The Urban Charm,theurbancharm.com,hello@theurbancharm.com,fallback
Ornot,ornotbike.com,hello@ornotbike.com,fallback
Warner Bros. Shop,wbshop.com,hello@wbshop.com,fallback
fragranceShop,fragranceshop.com,hello@fragranceshop.com,fallback
Veer Coffee Co,veercoffee.com,hello@veercoffee.com,fallback
AG Jeans,agjeans.com,hello@agjeans.com,fallback
Atlas Bar,atlasbars.com,hello@atlasbars.com,fallback
Simple Retro,simpleretro.com,hello@simpleretro.com,fallback
Klymit,klymit.com,hello@klymit.com,fallback
URBAN REVIVO,global.urbanrevivo.com,hello@global.urbanrevivo.com,fallback
Toor Knives,toorknives.com,hello@toorknives.com,fallback
Jonathan Adler,jonathanadler.com,hello@jonathanadler.com,fallback
Effie's Paper,effiespaper.com,hello@effiespaper.com,fallback
Lucy & Sam,lucyandsam.com,hello@lucyandsam.com,fallback
Puppy Pride,puppypride.store,hello@puppypride.store,fallback
Miss Me,missme.com,hello@missme.com,fallback
FoodCycler,foodcycler.com,hello@foodcycler.com,fallback
Woolx,woolx.com,hello@woolx.com,fallback
Tricomax,tricomax.com,hello@tricomax.com,fallback
ALIGNE,aligne.co,hello@aligne.co,fallback
Lovisa US,lovisa.com,hello@lovisa.com,fallback
